Position,dCpskew_range,dCpkurt_range
0,0.33254286866145,1.93427163967184
0.1868633,0.366769627872638,1.24141177754296
0.3737266,0.310194803507702,1.15098369456479
0.5605898,0.354746291713966,1.71982703010843
0.7474532,0.309368254720084,1.61285625209371
0.9343164,0.289255920017578,1.36082933301826
1.1211798,0.306766759474979,1.41180797524691
1.308043,0.344275053541,0.988523801602233
1.4949064,0.344696325822837,1.32365109018027
1.6817696,0.379891755572425,1.74356506076358
1.868633,0.341259144476937,1.35799073212258
2.055496,0.348665705417852,1.73323349801302
2.24236,0.388168864671167,2.24382449697585
2.429222,0.356292005131411,2.16586730460731
2.616086,0.3241401872639,1.98948435128068
2.80295,0.302307652647477,1.81747261138703
2.989812,0.315659699660406,1.45626663747662
3.176676,0.373582197573087,1.65862561879891
3.36354,0.429348667475111,2.42688225931241
3.550402,0.44138328963525,2.6728550559985
3.737266,0.290265215290697,1.17975106252147
3.92413,0.309189394058122,1.31425893167771
4.110992,0.322449193486658,1.3033609661744
4.297856,0.328654710271078,1.48085597781353
4.48472,0.30097605651468,1.36515844283978
4.671582,0.280543591068419,1.33349279873004
4.858446,0.276532803307225,1.41073407003532
5.04531,0.28007870450103,1.39626779289949
5.232172,0.302164988079406,1.56169335279123
5.419036,0.290497795393463,1.67698252225369
5.605898,0.2607752437885,1.58947763946785
5.792762,0.26808802110572,1.66508589965866
5.979626,0.265457275598038,1.63107980547942
6.166488,0.257083924040672,1.74285937736123
6.353352,0.28138546613199,1.80295259093426
6.540216,0.285921350521475,1.81722570766486
6.727078,0.28800883417223,1.94645964385548
6.913942,0.325367514917701,2.04054453717759
7.100806,0.354774857740228,2.04273645334157
7.287668,0.383060573558294,1.78650165378998
7.474532,0.411618754907873,1.59137322791872
7.661396,0.413532975274204,1.63402268657196
7.848258,0.401004327771762,1.44050077657134
8.035122,0.41534346214929,1.43996197604803
8.221986,0.41119778599182,1.3842807944892
8.408848,0.398846689751234,1.38102402768929
8.595712,0.408625225519686,1.4265494655029
8.782576,0.43033932477492,1.51747907578297
8.969438,0.434283399899569,1.61604156472776
9.156302,0.433704679048951,1.5953665259043
9.343164,0.441928764388966,1.75497628404447
